"item_nr","mean_regret_selected_title_AbsoluteDenier","mean_regret_selected_title_OriginDenier","mean_regret_title","mean_agreement_selected_title_AbsoluteDenier","mean_agreement_selected_title_OriginDenier","mean_agreement_title","mean_positive_selected_title_AbsoluteDenier","mean_positive_selected_title_OriginDenier","mean_positive_title","mean_negative_selected_title_AbsoluteDenier","mean_negative_selected_title_OriginDenier","mean_negative_title","original","AbsoluteDenier","OriginDenier","absolutedenier_works","OriginDenier_regret_distance","OriginDenier_agreement_distance","OriginDenier_positive_distance","OriginDenier_negative_distance","AbsoluteDenier_regret_distance","AbsoluteDenier_agreement_distance","AbsoluteDenier_positive_distance","AbsoluteDenier_negative_distance","agreement_absolute"
1,3.78947368421053,3.11428571428571,3.25,3.13157894736842,4.57142857142857,3.96875,2.68421052631579,3.91428571428571,3.0625,-3.10526315789474,-2.91428571428571,-3.3125,6.96875,6.5,6.5,0,0.135714285714286,-0.602678571428571,-0.851785714285714,-0.398214285714286,-0.539473684210526,0.837171052631579,0.378289473684211,-0.207236842105263,0
2,3.1025641025641,3.59090909090909,3.36363636363636,4.07692307692308,3.72727272727273,3.81818181818182,3,2.90909090909091,2.90909090909091,-4.07692307692308,-3.81818181818182,-3.54545454545455,6.54545454545454,6.1025641025641,6.1025641025641,0,-0.227272727272727,0.0909090909090913,0,0.272727272727273,0.261072261072261,-0.258741258741258,-0.0909090909090908,0.531468531468531,1
3,3.10810810810811,3.24137931034483,3.77272727272727,3.86486486486486,4.03448275862069,3.20454545454545,2.32432432432432,2.13793103448276,2.13636363636364,-4.51351351351351,-4.37931034482759,-4.75,4.36363636363636,4.78378378378378,4.78378378378378,1,0.531347962382446,-0.829937304075235,-0.00156739811912221,-0.370689655172414,0.664619164619165,-0.66031941031941,-0.187960687960688,-0.236486486486487,1
4,3.02564102564103,3.925,4,4,3.575,2.95555555555556,3.17948717948718,3.3,2.73333333333333,-3.46153846153846,-4.075,-3.77777777777778,5.91111111111111,6.74358974358974,6.74358974358974,1,0.0750000000000002,-0.619444444444444,-0.566666666666666,0.297222222222222,0.974358974358974,-1.04444444444444,-0.446153846153846,-0.316239316239316,1
5,4.53846153846154,4.19354838709677,4.41025641025641,2.41025641025641,2.87096774193548,2.74358974358974,2.07692307692308,3.29032258064516,2.84615384615385,-4.58974358974359,-3.80645161290323,-3.41025641025641,6.58974358974359,4.43589743589744,4.43589743589744,0,0.216708023159637,-0.12737799834574,-0.444168734491315,0.396195202646816,-0.128205128205128,0.333333333333333,0.769230769230769,1.17948717948718,0
6,4.08333333333333,4.48888888888889,4.10526315789474,3.05555555555556,2.46666666666667,3.86842105263158,2.61111111111111,2.11111111111111,3.10526315789474,-4.05555555555556,-4.51111111111111,-3.71052631578947,7.36842105263158,5.69444444444444,5.69444444444444,0,-0.383625730994152,1.40175438596491,0.994152046783626,0.800584795321637,0.0219298245614041,0.812865497076023,0.494152046783626,0.345029239766081,0
7,3.97297297297297,3.54166666666667,4.35,3.94594594594595,3.60416666666667,2.2,3.59459459459459,3.1875,2.4,-3.56756756756757,-4.14583333333333,-4.725,4.225,7.94594594594595,7.94594594594595,1,0.808333333333333,-1.40416666666667,-0.7875,-0.579166666666667,0.377027027027027,-1.74594594594595,-1.19459459459459,-1.15743243243243,1
8,3.54545454545455,2.67857142857143,4.21052631578947,4.04545454545455,4.42857142857143,2.92105263157895,2.77272727272727,2.17857142857143,2.21052631578947,-3.81818181818182,-4.03571428571429,-4.42105263157895,4.92105263157895,6.54545454545455,6.54545454545455,1,1.53195488721805,-1.50751879699248,0.0319548872180455,-0.385338345864662,0.665071770334928,-1.1244019138756,-0.562200956937799,-0.602870813397129,1
9,3.55,4.11111111111111,3.21428571428571,3.725,3.13888888888889,3.5952380952381,3.25,2.63888888888889,2.80952380952381,-3.675,-4.22222222222222,-3.88095238095238,5.73809523809524,6.85,6.85,1,-0.896825396825396,0.456349206349207,0.17063492063492,0.341269841269841,-0.335714285714285,-0.129761904761905,-0.440476190476191,-0.205952380952381,1
10,3.62162162162162,3.43181818181818,3.58333333333333,3.86486486486486,3.84090909090909,3.94444444444444,2.59459459459459,2.45454545454545,2.22222222222222,-4.40540540540541,-3.84090909090909,-4.5,5.25,5.67567567567568,5.67567567567568,1,0.151515151515152,0.103535353535354,-0.232323232323232,-0.659090909090909,-0.038288288288288,0.0795795795795797,-0.372372372372372,-0.0945945945945947,0
11,4.02272727272727,3.86842105263158,3.71052631578947,3.31818181818182,3.28947368421053,3.15789473684211,2.52272727272727,2.23684210526316,2.21052631578947,-4.29545454545455,-4.02631578947368,-3.73684210526316,5.3421052631579,5.56818181818182,5.56818181818182,1,-0.157894736842105,-0.131578947368421,-0.0263157894736841,0.289473684210526,-0.312200956937799,-0.160287081339713,-0.312200956937799,0.558612440191388,1
12,2.07692307692308,3.97222222222222,3.475,4.61538461538461,3.33333333333333,3.225,4.92307692307692,3.08333333333333,3.225,-1.92307692307692,-3.19444444444444,-3.025,6.9,9.69230769230769,9.69230769230769,1,-0.497222222222222,-0.108333333333333,0.141666666666667,0.169444444444445,1.39807692307692,-1.39038461538461,-1.69807692307692,-1.10192307692308,1
13,3.31034482758621,4.1304347826087,4.54838709677419,4.27586206896552,3.10869565217391,2.61290322580645,2.68965517241379,2.71739130434783,2.16129032258065,-3.89655172413793,-4.39130434782609,-4.74193548387097,4.58064516129032,6.37931034482759,6.37931034482759,1,0.417952314165499,-0.495792426367462,-0.556100981767181,-0.350631136044881,1.23804226918799,-1.66295884315907,-0.528364849833148,-0.845383759733037,1
14,2.32258064516129,2.3030303030303,3.07894736842105,4.7741935483871,4.75757575757576,4.21052631578947,4.83870967741935,4.3030303030303,3.60526315789474,-2.25806451612903,-2.48484848484848,-2.39473684210526,8.5,9.67741935483871,9.67741935483871,1,0.775917065390749,-0.547049441786284,-0.697767145135566,0.0901116427432216,0.756366723259762,-0.563667232597624,-1.23344651952462,-0.136672325976231,1
15,2.97560975609756,3.47619047619048,3.93333333333333,4.17073170731707,3.57142857142857,3.23333333333333,4.24390243902439,2.92857142857143,2.16666666666667,-2.92682926829268,-3.30952380952381,-4.73333333333333,4.6,8.46341463414634,8.46341463414634,1,0.457142857142857,-0.338095238095238,-0.761904761904762,-1.42380952380952,0.957723577235772,-0.93739837398374,-2.07723577235772,-1.80650406504065,1
16,3.58139534883721,3.48648648648649,4.02857142857143,3.18604651162791,3.81081081081081,3.31428571428571,3.04651162790698,2.51351351351351,3.17142857142857,-3.53488372093023,-3.56756756756757,-3.11428571428571,7.4,6.27906976744186,6.27906976744186,0,0.542084942084942,-0.496525096525096,0.657915057915058,0.453281853281853,0.447176079734219,0.128239202657808,0.124916943521594,0.420598006644518,0
17,3.78571428571429,4.34210526315789,3.97142857142857,3.07142857142857,2.63157894736842,2.82857142857143,3.14285714285714,2.81578947368421,2.31428571428571,-3.25,-4.15789473684211,-4.22857142857143,4.88571428571429,6.75,6.75,1,-0.370676691729323,0.196992481203007,-0.501503759398496,-0.0706766917293233,0.185714285714286,-0.242857142857143,-0.828571428571428,-0.978571428571429,1
18,3.13888888888889,4.16129032258065,4,4.16666666666667,2.90322580645161,3.24242424242424,1.83333333333333,2.19354838709677,2.06060606060606,-4.5,-4.35483870967742,-4.63636363636364,4.66666666666667,4.63888888888889,4.63888888888889,0,-0.161290322580645,0.339198435972629,-0.132942326490713,-0.281524926686218,0.861111111111111,-0.924242424242425,0.227272727272727,-0.136363636363637,1
19,3.76315789473684,3.38888888888889,4.08823529411765,2.94736842105263,3.75,2.58823529411765,3.02631578947368,3.5,3.14705882352941,-3.86842105263158,-3.30555555555556,-3.38235294117647,6.44117647058823,5.86842105263158,5.86842105263158,0,0.699346405228758,-1.16176470588235,-0.352941176470588,-0.0767973856209152,0.325077399380805,-0.359133126934984,0.120743034055728,0.486068111455108,1
20,3.13513513513514,3.35135135135135,3.42857142857143,4.35135135135135,3.81081081081081,3.54285714285714,2.7027027027027,1.89189189189189,2.05714285714286,-4.37837837837838,-3.43243243243243,-5.17142857142857,3.85714285714286,5.81081081081081,5.81081081081081,1,0.0772200772200771,-0.267953667953668,0.165250965250965,-1.73899613899614,0.293436293436293,-0.808494208494209,-0.645559845559846,-0.793050193050194,1
21,3.1304347826087,3.57894736842105,3.27027027027027,4.21739130434783,3.52631578947368,3.62162162162162,2.69565217391304,2.65789473684211,2.97297297297297,-3.60869565217391,-3.84210526315789,-3.43243243243243,6.43243243243243,6.43478260869565,6.43478260869565,1,-0.308677098150782,0.0953058321479374,0.315078236130867,0.409672830725462,0.139835487661574,-0.595769682726205,0.277320799059929,0.176263219741481,1
22,3.21052631578947,3.52631578947368,4.67741935483871,3.71052631578947,3.31578947368421,2.83870967741935,3.07894736842105,2.52631578947368,2.51612903225806,-3.60526315789474,-4.55263157894737,-3.51612903225806,6.51612903225807,6.39473684210526,6.39473684210526,0,1.15110356536503,-0.477079796264856,-0.0101867572156196,1.0365025466893,1.46689303904924,-0.871816638370119,-0.562818336162988,0.0891341256366722,1
23,2.64705882352941,3.21428571428571,3.97297297297297,3.88235294117647,4.39285714285714,2.91891891891892,4.02941176470588,4.07142857142857,2.43243243243243,-2.76470588235294,-2.89285714285714,-4.10810810810811,5.21621621621621,7.79411764705882,7.79411764705882,1,0.758687258687258,-1.47393822393822,-1.63899613899614,-1.21525096525097,1.32591414944356,-0.963434022257552,-1.59697933227345,-1.34340222575517,1
24,2.85294117647059,4.47222222222222,4.55263157894737,4.32352941176471,2.77777777777778,2.5,2,2.25,2.10526315789474,-4.76470588235294,-4.05555555555556,-4.47368421052632,4.68421052631579,4.41176470588235,4.41176470588235,0,0.0804093567251458,-0.277777777777778,-0.144736842105263,-0.418128654970761,1.69969040247678,-1.82352941176471,0.105263157894737,0.291021671826625,1
25,2.07692307692308,3.07692307692308,3,5.23076923076923,4,3.41176470588235,3.46153846153846,2.38461538461538,2.82352941176471,-3.30769230769231,-4.96153846153846,-3.82352941176471,5.41176470588235,7.46153846153846,7.46153846153846,1,-0.0769230769230771,-0.588235294117647,0.438914027149321,1.13800904977376,0.923076923076923,-1.81900452488688,-0.638009049773756,-0.515837104072399,1
26,3.08333333333333,3.78571428571429,4.23684210526316,3.58333333333333,2.46428571428571,2.63157894736842,3.22222222222222,2.60714285714286,2.63157894736842,-3.30555555555556,-4.28571428571429,-3.81578947368421,5.68421052631579,6.58333333333333,6.58333333333333,1,0.451127819548872,0.167293233082707,0.024436090225564,0.469924812030075,1.15350877192982,-0.951754385964912,-0.590643274853801,-0.510233918128655,1
27,3.71052631578947,3.90625,3.72972972972973,3.21052631578947,3.375,3.56756756756757,3.10526315789474,2.53125,2.72972972972973,-3.60526315789474,-4.03125,-4.18918918918919,5.83783783783784,6.42105263157895,6.42105263157895,1,-0.17652027027027,0.192567567567568,0.19847972972973,-0.157939189189189,0.0192034139402559,0.357041251778094,-0.375533428165007,-0.583926031294453,0
28,3.48148148148148,4.02777777777778,4.08823529411765,3.81481481481481,3.08333333333333,2.88235294117647,3.66666666666667,2.33333333333333,2.52941176470588,-3.37037037037037,-4.11111111111111,-3.97058823529412,5.52941176470588,7.59259259259259,7.59259259259259,1,0.0604575163398691,-0.200980392156863,0.196078431372549,0.140522875816993,0.606753812636165,-0.932461873638344,-1.13725490196078,-0.600217864923748,1
29,2.93023255813953,3.94594594594595,4.38461538461539,4.11627906976744,3.48648648648649,2.74358974358974,4.27906976744186,3,2.51282051282051,-2.93023255813953,-3.7027027027027,-4.23076923076923,5.41025641025641,8.3953488372093,8.3953488372093,1,0.438669438669439,-0.742896742896743,-0.487179487179487,-0.528066528066528,1.45438282647585,-1.3726893261777,-1.76624925462135,-1.3005366726297,1
30,3.66666666666667,3.38461538461538,3.70588235294118,3.6,3.41025641025641,3.44117647058824,2.6,3.38461538461538,3.14705882352941,-3.7,-3.02564102564103,-3.26470588235294,7.02941176470588,6.16666666666667,6.16666666666667,0,0.321266968325792,0.0309200603318254,-0.237556561085973,-0.239064856711916,0.0392156862745101,-0.158823529411765,0.547058823529412,0.435294117647059,1
