Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Climate change,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6661faacb9b110fb263753db,6628591817056f60a12cb03b,APPROVED,Not Applicable,2024-06-06T18:06:42.857000Z,2024-06-06T18:25:03.007000Z,2024-06-07T18:44:04.314000Z,2024-06-06T18:25:22.483023Z,1101.0,CWCSHZAX,8,No,31,Male,White,United States,United States,United States,English,No,Part-Time
6661fd95bb740ebb1592c827,65537dbd2756066036592c3f,APPROVED,Not Applicable,2024-06-06T18:19:07.124000Z,2024-06-06T18:54:10.916000Z,2024-06-07T18:44:04.661000Z,2024-06-06T18:54:17.526681Z,2104.0,CWCSHZAX,746,Don't know,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6661fe41427a8712108710dc,6489fae0691611ad1852bcf6,RETURNED,Not Applicable,2024-06-06T18:22:00.363000Z,,,2024-06-26T18:43:57.357100Z,,,828,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6661ff0f83d74c4ce554651e,661d441d72e2d88c5ce0994c,APPROVED,Not Applicable,2024-06-06T18:25:26.438000Z,2024-06-06T18:36:22.159000Z,2024-06-07T18:44:04.921000Z,2024-06-06T18:36:22.736719Z,656.0,CWCSHZAX,40,Don't know,51,Female,White,United States,United States,United States,English,No,Full-Time
66620007b9b110fb26375542,5cc78069714158000168f17f,APPROVED,Not Applicable,2024-06-06T18:29:33.211000Z,2024-06-06T18:43:43.817000Z,2024-06-07T18:44:05.240000Z,2024-06-06T18:43:44.209691Z,851.0,CWCSHZAX,1613,Don't know,36,Female,White,United States,United States,United States,English,No,Full-Time
666201724a9e6c43497fb728,61005ab8b6704a8db3e98906,APPROVED,Not Applicable,2024-06-06T18:35:38.706000Z,2024-06-06T18:45:27.246000Z,2024-06-07T18:44:05.470000Z,2024-06-06T18:45:27.688691Z,589.0,CWCSHZAX,398,Don't know,46,Male,White,United States,United States,United States,English,No,Full-Time
6662019e3e928ee1cc33cf5f,6101aae23efe687ec3d4a2eb,APPROVED,Not Applicable,2024-06-06T18:36:17.271000Z,2024-06-06T18:45:44.751000Z,2024-06-07T18:44:05.702000Z,2024-06-06T18:45:45.312900Z,568.0,CWCSHZAX,2312,No,23,Female,Other,Brazil,United States,Brazil,Portuguese,Yes,Part-Time
666202c0511e9c0f471b0ac2,655c1c7fe949a617a358ad37,APPROVED,Not Applicable,2024-06-06T18:41:08.608000Z,2024-06-06T18:48:40.105000Z,2024-06-07T18:44:05.921000Z,2024-06-06T18:51:06.313306Z,452.0,CWCSHZAX,90,No,45,Male,White,United States,United States,United States,English,No,Full-Time
666202df84a387f1ddd7a3f8,63e63f77c742a91baf498dd0,APPROVED,Not Applicable,2024-06-06T18:41:40.216000Z,2024-06-06T18:53:02.929000Z,2024-06-07T18:44:06.565000Z,2024-06-06T18:54:13.835732Z,683.0,CWCSHZAX,3320,No,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
666202f87e2840ac11ca8c3a,615993153e17441c2e8d6c92,APPROVED,Not Applicable,2024-06-06T18:42:05.545000Z,2024-06-06T18:49:40.214000Z,2024-06-07T18:44:06.815000Z,2024-06-06T18:51:42.488284Z,455.0,CWCSHZAX,622,No,39,Female,White,United States,United States,United States,English,Yes,Full-Time
66620319383da73c43877330,665fb0f5405c1da6eb29b110,APPROVED,Not Applicable,2024-06-06T18:42:41.569000Z,2024-06-06T19:07:02.277000Z,2024-06-07T18:44:07.051000Z,2024-06-06T19:07:03.400266Z,1461.0,CWCSHZAX,16,Don't know,22,Male,Other,United States,United States,United States,English,Yes,Unemployed (and job seeking)
666203aac261a54942246b86,615239af65358edf57e7a095,APPROVED,Not Applicable,2024-06-06T18:45:17.336000Z,2024-06-06T18:56:35.946000Z,2024-06-07T18:44:07.296000Z,2024-06-06T18:56:36.465806Z,679.0,CWCSHZAX,1992,No,31,Female,Mixed,United States,United States,United States,English,No,Full-Time
666203d41ee7a982014dffb9,657907698463fd17efdc81b7,APPROVED,Not Applicable,2024-06-06T18:45:47.369000Z,2024-06-06T19:07:58.841000Z,2024-06-07T18:44:07.520000Z,2024-06-06T19:08:11.938717Z,1332.0,CWCSHZAX,612,No,55,Female,White,United States,United States,United States,English,No,Part-Time
666203f04bbff0760da4e060,664218e510e790cd8414d32c,APPROVED,Not Applicable,2024-06-06T18:46:12.297000Z,2024-06-06T19:19:51.979000Z,2024-06-07T18:44:07.786000Z,2024-06-06T19:19:58.826337Z,2020.0,CWCSHZAX,20,No,24,Male,White,United States,United States,United States,English,No,Other
66620433b7db2b00f772128a,608b3a030c86f58ffd351d63,APPROVED,Not Applicable,2024-06-06T18:47:18.275000Z,2024-06-06T18:54:57.636000Z,2024-06-07T18:44:08.013000Z,2024-06-06T18:54:58.199242Z,460.0,CWCSHZAX,1805,No,35,Male,White,France,United States,France,French,No,Full-Time
666205935e0c216230d310b1,564f489b9b124900127ec16f,APPROVED,Not Applicable,2024-06-06T18:53:29.830000Z,2024-06-06T19:01:36.078000Z,2024-06-07T18:44:08.238000Z,2024-06-06T19:01:36.989595Z,487.0,CWCSHZAX,601,Don't know,35,Female,Black,United States,United States,United States,English,No,Full-Time
666205a3ddcb3e96b18d49b2,65ca89f0bf4889dc31c259b9,RETURNED,Not Applicable,2024-06-06T18:53:29.663000Z,2024-06-06T19:11:48.842000Z,,2024-06-26T18:43:57.365142Z,,CWCSHZAX,389,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666205abf8cff88117543ae2,65f0d043187d80bcda1997c6,APPROVED,Not Applicable,2024-06-06T18:53:38.378000Z,2024-06-06T19:13:43.006000Z,2024-06-07T18:44:08.497000Z,2024-06-06T19:14:10.659140Z,1205.0,CWCSHZAX,301,Don't know,31,Female,White,Nicaragua,United States,Nicaragua,Spanish,No,Full-Time
